Ticker
AAPL
MSFT
KO
PG
LMT
TSLA
AMZN
JNJ
NOC
NVDA
META
GOOGL
NFLX
PEP
COST
WMT
HD
LOW
UNH
CVS
PFE
MRK
ABBV
JNJ
LLY
RTX
BA
NOC
LMT
XOM
CVX
COP
SLB
OXY
JPM
BAC
GS
MS
USB
T
VZ
TMUS
NEE
DUK
SO
EXC
SBUX
MCD
YUM
DPZ
KO
